stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1735.TW,0.84,0.247,21.046513,0.05552,0.016339999,0.18101,0.04651,21.54762,1.165261,24.342,0.1088820443759804,0.005264868378290543,0.30238475954677535,0.01737511795234725,0.015369178093343415,0.5315667455505517,0.9482671919250598,0.08179875012585107,0.2351690865650312,0.15205736157884372,0.33602598583502297,0.6232096578329762
1736.TW,4.02,0.591,14.973638,0.13340001,0.02637,0.4909,-0.041339997,21.194029,2.7401664,128.945,0.202271193107498,0.02593435164120897,0.568791802066677,0.09448867657466384,0.04798548222443656,0.5277170626541846,0.9402930073160989,0.16597234119644483,0.2504521295845058,0.174007293197381,0.36967737420627667,0.6757966323066045
1752.TW,1.57,0.261,16.826923,0.06722,0.03875,0.34361,0.12291,33.439487,2.3777175,20.85,0.12291199943323779,0.010009749756256094,0.4421691511493957,0.014800807973578675,0.0404791624452421,0.5288918866982484,0.9552020550432067,0.10663647047771847,0.245462824903069,0.1558578712695527,0.34231755463638347,0.635882203951815
1760.TW,1.15,0.24,61.999996,0.05333,0.04042,0.52541,0.11228,86.26087,4.6435423,23.01,0.1062559245832117,0.007279818004549886,0.5984594487715136,0.016393164661476764,0.08740441318384094,0.5575277480496578,0.9542371650570037,0.12176438307824762,0.2774582102975277,0.15977165669398713,0.3669002173300136,0.6251025014098752
1762.TW,1.62,0.769,18.600746,0.0372,0.01091,0.33438998,0.056929998,30.771605,1.1438996,20.277,0.08691377286752267,0.010334741631459216,0.434242860335964,0.014378391129983487,0.014926783318986845,0.5300163386364626,0.9492130199331928,0.0978145778499264,0.23503945664924114,0.1525863227082674,0.34486395230928485,0.6102937256191625
1776.TW,0.55,0.175,13.945313,0.03546,0.00698,0.16400999,0.03504,32.454544,1.1808679,17.592,0.08482726673080235,0.003379915502112448,0.28777014666185247,0.012399003302665721,0.01569239712411412,0.5270651926314348,0.9472260547527411,0.07131147827330431,0.2331088928944801,0.14717536025826022,0.33104228239401123,0.6078483288882365
1786.TW,2.65,0.607,19.860897,0.12639,0.0588,0.74134004,0.24483,48.490562,5.669534,11.721,0.19386519949630782,0.017029574260643485,0.784090748095803,0.008070889360698278,0.10865270995339756,0.5308151664983138,0.9662687894851498,0.17556400637610506,0.2765094580090494,0.16825508269780778,0.3618449010777957,0.6858846660010218
1789.TW,0.49,0.312,108.84615,0.0367,0.02179,0.38744998,0.17191,57.7551,2.1262207,4.326,0.08631420213858006,0.0029899252518687035,0.4798576193669298,0.0026192793111582914,0.03527066159382797,0.5872241995350542,0.9596498075666254,0.09884676392919853,0.26722855779833093,0.1626216900892542,0.37692582042330747,0.6160503758314732
1795.TW,15.05,0.571,12.521589,0.25278,0.08997,0.5399,0.29908,19.269102,4.4708242,63.627,0.3454246883584241,0.09762755931101724,0.6109162497206032,0.04633610521349375,0.08382741987456373,0.5261626734898508,0.9711930869217921,0.22320079901392367,0.27539273224153243,0.23426253871467342,0.3570517096670656,0.7817105223070933
1808.TW,15.93,0.197,53.521122,0.75161004,0.11359,0.36183998,0.33488,7.1563087,4.114335,64.223,0.94359246976098,0.10334741631459214,0.45784114784821445,0.046775477707006366,0.07644452553268763,0.5521528677469592,0.9744426693776777,0.36919227033599245,0.2841851885510118,0.30724752151540935,0.3609731604476756,1.150413860848254
