stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1587.TW,0.56,1.008,83.24324,0.02861,0.00627,0.2068,-0.015420001,110.0,3.0622392,30.258,0.0766131477442884,0.003444913877153072,0.3245559739344234,0.02173640599197924,0.05465561263173133,0.5709941462696363,0.9426457772674459,0.07255463027550234,0.2686457648581713,0.15770359469002054,0.35774896090730546,0.6001237242973348
1590.TW,35.81,0.999,21.876982,0.18011999,0.099309996,0.46518,0.30325,28.90254,4.975268,150.636,0.25829505803706754,0.23256418589535266,0.5466807654613917,0.11047932885114414,0.09427445523163618,0.5320931918062811,0.971571599738581,0.2382228326528926,0.30169459568489726,0.312626550435383,0.36951890988098324,0.7285047443149291
1597.TW,1.1,0.867,12.922201,0.041939996,0.01469,0.42908,0.089770004,61.90909,2.5566902,11.706,0.0925976985813329,0.0069548261293467676,0.5156462234143155,0.008059831328143429,0.04418568857332756,0.5264166272044389,0.9521939223731027,0.10751808625864273,0.24555399719623439,0.150098618092766,0.34470129002377387,0.61552830241861
1598.TW,0.24,0.982,3.9077673,-0.00057,-0.007850001,0.34597,-0.04709,134.16667,1.0811536,50.279,0.04162220000319691,0.0013649658758531037,0.44419800209762555,0.03649593064401982,0.013627313129215722,0.5207022478972204,0.9397710769007334,0.08766220021150072,0.22920870347958994,0.13972471823510513,0.3455811837193194,0.5769804009673107
1605.TW,0.98,0.834,17.512196,0.03066,0.00991,0.07002,0.01201,36.632652,1.0224134,45.391,0.07907138773295316,0.006174845628859279,0.20696858719760666,0.03289248643548007,0.012410803091265991,0.5293262911191269,0.9451356110667344,0.061209753738199375,0.23307090401893835,0.14893713195729402,0.3311607251662973,0.6030921515318066
1609.TW,1.63,0.974,26.146341,0.101210006,0.02385,0.13302,0.06947,32.883434,2.6592577,37.382,0.16367082478160605,0.010399740006499836,0.26112859132408317,0.02698823425336164,0.04630986236431583,0.5347995999442308,0.9503512816788903,0.0906061271874243,0.2505496383923719,0.16189970640436935,0.33375630384752264,0.6580290818452537
1809.TW,0.09,1.199,245.0,-0.0047999998,-0.0046,0.16863,0.01328,272.2222,1.396648,14.525,0.036549831876170606,0.0003899902502437439,0.29174188889462016,0.0101380042462845,0.020161204816968363,0.6735340853172456,0.9452508895505046,0.0566892017286302,0.2973735309582839,0.17804904542428485,0.4156821289607959,0.5770855788947039
1907.TW,1.27,0.836,25.3719,0.03533,0.00219,0.14325,0.0107700005,24.17323,0.8314376,44.724,0.08467137834127726,0.008059798505037376,0.26992314437509674,0.03240077258787449,0.008455692660837079,0.5343086706443612,0.9450230557421392,0.07373329078832856,0.2337805513189778,0.152011114587479,0.3393189362983217,0.6064600183083584
2010.TW,1.34,0.82,17.478634,0.07537,0.02822,0.08324,0.05258,15.261194,1.1327758,32.725,0.13268500231500255,0.008514787130321742,0.2183335912381149,0.02355508374616655,0.014696409327067428,0.5293050156841199,0.9488181686152057,0.07706597345997213,0.23437577384071787,0.1560355246956039,0.32960549045043996,0.6381289447629622
2029.TW,1.94,0.886,44.36508,0.06467,0.04032,0.10639,0.049450003,14.407216,0.9239975,39.915,0.1198541887156304,0.012414689632759181,0.23823524354808207,0.02885556735079028,0.01037260897133012,0.5463487208995732,0.9485340573487763,0.07909414493448202,0.24038482113119042,0.16157876546295383,0.34279842048953757,0.6300943733726865
2031.TW,6.07,1.199,11.085814,0.17476,0.0145000005,0.07992,0.049689997,10.428335,1.7117361,49.533,0.2518676718142172,0.03925901852453689,0.2154794449889101,0.035945977824958716,0.026686682028290575,0.5252525150458631,0.9485558417144724,0.12010927487602699,0.24217125361313857,0.187051264675425,0.3287186419463986,0.7110578242745303
2103.TW,0.83,0.828,26.129032,0.0461,0.01694,0.10751,0.04756,29.277107,1.010017,38.826,0.09758613184270137,0.005199870003249919,0.2391980880658861,0.028052754187308328,0.01215407354260187,0.5347886275199254,0.9483625009077045,0.07052353906490885,0.23516270309886358,0.15166548768439775,0.3357685880870348,0.6163389315785854
